20:04:33 - Starting servent [3|localhost:1400]
20:04:33 - Pausing for 1000 ms
20:04:34 - Pausing for 59000 ms
20:04:35 - Sending message [ID: 36][SOURCE: 3][3->1][BODY: 7][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=36, 4=0}
20:04:35 - Sending message [ID: 11][SOURCE: 3][3->2][BODY: 7][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=11, 4=0}
20:04:35 - Sending message [ID: 17][SOURCE: 3][3->4][BODY: 4][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=17, 4=0}
20:04:35 - Sending message [ID: 41][SOURCE: 3][3->4][BODY: 2][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=41, 4=0}
20:04:35 - Sending message [ID: 42][SOURCE: 3][3->1][BODY: 5][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=42, 4=0}
20:04:35 - Sending message [ID: 22][SOURCE: 3][3->1][BODY: 2][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=22, 4=0}
20:04:35 - Sending message [ID: 16][SOURCE: 3][3->2][BODY: 6][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=16, 4=0}
20:04:35 - Sending message [ID: 25][SOURCE: 3][3->4][BODY: 2][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=25, 4=0}
20:04:35 - Sending message [ID: 9][SOURCE: 3][3->1][BODY: 8][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=9, 4=0}
20:04:35 - Sending message [ID: 41][SOURCE: 3][3->1][BODY: 2][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=41, 4=0}
20:04:35 - Sending message [ID: 2][SOURCE: 3][3->4][BODY: 2][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=2, 4=0}
20:04:35 - Sending message [ID: 14][SOURCE: 3][3->2][BODY: 1][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=14, 4=0}
20:04:35 - Sending message [ID: 28][SOURCE: 3][3->4][BODY: 3][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=28, 4=0}
20:04:35 - Sending message [ID: 22][SOURCE: 3][3->4][BODY: 2][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=22, 4=0}
20:04:35 - Sending message [ID: 2][SOURCE: 3][3->2][BODY: 2][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=2, 4=0}
20:04:35 - Sending message [ID: 13][SOURCE: 3][3->4][BODY: 5][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=13, 4=0}
20:04:35 - Sending message [ID: 31][SOURCE: 3][3->4][BODY: 6][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=31, 4=0}
20:04:35 - Sending message [ID: 30][SOURCE: 3][3->2][BODY: 4][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=30, 4=0}
20:04:35 - Sending message [ID: 26][SOURCE: 3][3->1][BODY: 8][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=26, 4=0}
20:04:35 - Sending message [ID: 20][SOURCE: 3][3->2][BODY: 9][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=20, 4=0}
20:04:35 - Sending message [ID: 27][SOURCE: 3][3->1][BODY: 2][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=27, 4=0}
20:04:35 - Sending message [ID: 11][SOURCE: 3][3->4][BODY: 7][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=11, 4=0}
20:04:35 - Sending message [ID: 38][SOURCE: 3][3->2][BODY: 6][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=38, 4=0}
20:04:35 - Sending message [ID: 32][SOURCE: 3][3->4][BODY: 3][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=32, 4=0}
20:04:35 - Sending message [ID: 18][SOURCE: 3][3->4][BODY: 10][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=18, 4=0}
20:04:35 - Sending message [ID: 25][SOURCE: 3][3->1][BODY: 2][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=25, 4=0}
20:04:35 - Sending message [ID: 42][SOURCE: 3][3->4][BODY: 5][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=42, 4=0}
20:04:35 - Sending message [ID: 10][SOURCE: 3][3->4][BODY: 9][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=10, 4=0}
20:04:35 - Sending message [ID: 5][SOURCE: 3][3->1][BODY: 5][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=5, 4=0}
20:04:35 - Sending message [ID: 1][SOURCE: 3][3->4][BODY: 3][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=1, 4=0}
20:04:35 - Sending message [ID: 33][SOURCE: 3][3->1][BODY: 8][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=33, 4=0}
20:04:35 - Sending message [ID: 8][SOURCE: 3][3->4][BODY: 6][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=8, 4=0}
20:04:35 - Sending message [ID: 7][SOURCE: 3][3->1][BODY: 6][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=7, 4=0}
20:04:35 - Sending message [ID: 6][SOURCE: 3][3->2][BODY: 4][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=6, 4=0}
20:04:35 - Sending message [ID: 20][SOURCE: 3][3->1][BODY: 9][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=20, 4=0}
20:04:35 - Sending message [ID: 32][SOURCE: 3][3->1][BODY: 3][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=32, 4=0}
20:04:35 - Sending message [ID: 21][SOURCE: 3][3->1][BODY: 4][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=21, 4=0}
20:04:35 - Sending message [ID: 42][SOURCE: 3][3->2][BODY: 5][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=42, 4=0}
20:04:35 - Sending message [ID: 10][SOURCE: 3][3->1][BODY: 9][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=10, 4=0}
20:04:35 - Sending message [ID: 16][SOURCE: 3][3->1][BODY: 6][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=16, 4=0}
20:04:35 - Sending message [ID: 29][SOURCE: 3][3->2][BODY: 6][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=29, 4=0}
20:04:35 - Sending message [ID: 30][SOURCE: 3][3->4][BODY: 4][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=30, 4=0}
20:04:35 - Sending message [ID: 41][SOURCE: 3][3->2][BODY: 2][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=41, 4=0}
